DISTRITOS,S_NO_U_I,S_NO_U_C,S_U_I,S_U_C
ANCON,1883,1746,1103,1273
BARRANCO,2155,3392,3036,6365
BARRIO OBRERO INDUSTRIAL,49299,59863,43384,63723
BELLAVISTA,6295,10258,6671,11439
BREÑA,5910,8861,7099,11765
CALLAO,13880,16171,8034,11970
CALLAO,21237,25424,15960,22100
CARABAYLLO,12823,11963,8555,10270
CARMEN DE LA LEGUA REYNOSO,2829,3426,1817,2587
CHACLACAYO,2723,3064,2980,4919
CHORRILLOS,18947,22857,16035,25337
CHOSICA,10836,10261,10500,14573
CHOSICA,246,326,303,471
CIENEGUILLA,2426,1562,1165,1591
CIUDAD DE DIOS,32668,33531,21009,27998
EL AGUSTINO,10056,9241,7656,9071
INDEPENDENCIA,4786,5125,3224,4345
INDEPENDENCIA,12061,12739,8044,11864
JESUS MARIA,3697,7404,7826,18209
LA LIBERTAD,38645,44712,28622,41272
LA MOLINA,6022,10625,15971,40077
LA PUNTA,5569,9798,6163,10846
LA VICTORIA,12074,13114,12440,18873
LAS PALMERAS,22326,27670,22515,35068
LIMA,18694,24912,20464,36968
LINCE,3548,6237,6206,11626
LURIN,3492,3116,1940,2673
MAGDALENA DEL MAR,3139,5564,5354,11452
MIRAFLORES,3855,8634,10322,30134
PACHACAMAC,4786,3830,2394,2712
PUCUSANA,590,462,254,346
PUEBLO LIBRE,3983,8441,8304,19249
PUENTE PIEDRA,8472,6703,4500,4993
PUENTE PIEDRA,9954,8098,5142,6295
PUNTA HERMOSA,391,379,333,442
PUNTA NEGRA,392,359,288,404
RIMAC,11799,12849,10643,15403
SAN BARTOLO,440,467,351,403
SAN FRANCISCO DE BORJA,4600,9606,12943,35462
SAN ISIDRO,2184,5569,6138,21417
SAN JUAN DE LURIGANCHO,71469,62799,50403,64554
SAN LUIS,3563,4673,4843,8385
SAN MIGUEL,7709,14341,14217,27920
SANTA ANITA - LOS FICUS,11755,11299,10303,13744
SANTA MARIA DEL MAR,11,5,7,19
SANTA ROSA,699,1000,510,660
SANTIAGO DE SURCO,15468,30625,30601,74875
SURQUILLO,6357,8547,8047,15501
VENTANILLA,20054,17916,9334,11371
VENTANILLA,2182,1348,865,933
VILLA EL SALVADOR,10437,9818,5072,6112
VILLA EL SALVADOR,23212,21270,11284,13038
VILLA MARIA DEL TRIUNFO,24348,24778,11951,15370
VITARTE,7287,8541,9167,16344
VITARTE,19199,16628,13263,17305
